"Statistic Label","Year","Nace Rev 2 Activity","UNIT","VALUE"
"Persons Engaged - Labour only subcontract basis","2019","Construction (41 to 43)","Number",""
"Persons Engaged - Labour only subcontract basis","2020","Development of building projects (411)","Number",""
"Persons Engaged - Labour only subcontract basis","2020","Construction of residential and non-residential buildings (412)","Number",""
"Persons Engaged - Labour only subcontract basis","2020","Construction of roads and railways (421)","Number",""
"Persons Engaged - Labour only subcontract basis","2020","Construction of utility projects (422)","Number",""
"Persons Engaged - Labour only subcontract basis","2020","Construction of other civil engineering projects (429)","Number",""
"Persons Engaged - Labour only subcontract basis","2020","Demolition and site preparation (431)","Number",""
"Persons Engaged - Labour only subcontract basis","2020","Electrical, plumbing and other construction installation activities (432)","Number",""
"Persons Engaged - Labour only subcontract basis","2020","Building completion and finishing (433)","Number",""
"Persons Engaged - Labour only subcontract basis","2020","Other specialised construction activities (439)","Number",""
"Persons Engaged - Labour only subcontract basis","2020","Construction (41 to 43)","Number",""
"Persons Engaged - Total","2019","Development of building projects (411)","Number","3858"
"Persons Engaged - Total","2019","Construction of residential and non-residential buildings (412)","Number","37766"
"Persons Engaged - Total","2019","Construction of roads and railways (421)","Number","4508"
"Persons Engaged - Total","2019","Construction of utility projects (422)","Number","2879"
"Persons Engaged - Total","2019","Construction of other civil engineering projects (429)","Number","3246"
"Persons Engaged - Total","2019","Demolition and site preparation (431)","Number","2364"
"Persons Engaged - Total","2019","Electrical, plumbing and other construction installation activities (432)","Number","43914"
"Persons Engaged - Total","2019","Building completion and finishing (433)","Number","35597"
"Persons Engaged - Total","2019","Other specialised construction activities (439)","Number","24095"
"Persons Engaged - Total","2019","Construction (41 to 43)","Number","158227"
"Persons Engaged - Total","2020","Development of building projects (411)","Number","3657"
"Persons Engaged - Total","2020","Construction of residential and non-residential buildings (412)","Number","37486"
"Persons Engaged - Total","2020","Construction of roads and railways (421)","Number","4400"
"Persons Engaged - Total","2020","Construction of utility projects (422)","Number","3094"
"Persons Engaged - Total","2020","Construction of other civil engineering projects (429)","Number","3273"
"Persons Engaged - Total","2020","Demolition and site preparation (431)","Number","2417"
"Persons Engaged - Total","2020","Electrical, plumbing and other construction installation activities (432)","Number","43401"
"Persons Engaged - Total","2020","Building completion and finishing (433)","Number","35231"
"Persons Engaged - Total","2020","Other specialised construction activities (439)","Number","24390"
"Persons Engaged - Total","2020","Construction (41 to 43)","Number","157349"
"Wages and Salaries - Manual Employees","2019","Development of building projects (411)","Euro Thousand",""
"Wages and Salaries - Manual Employees","2019","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Wages and Salaries - Manual Employees","2019","Construction of roads and railways (421)","Euro Thousand",""
"Wages and Salaries - Manual Employees","2019","Construction of utility projects (422)","Euro Thousand",""
"Wages and Salaries - Manual Employees","2019","Construction of other civil engineering projects (429)","Euro Thousand",""
"Wages and Salaries - Manual Employees","2019","Demolition and site preparation (431)","Euro Thousand",""
"Wages and Salaries - Manual Employees","2019","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Wages and Salaries - Manual Employees","2019","Building completion and finishing (433)","Euro Thousand",""
"Wages and Salaries - Manual Employees","2019","Other specialised construction activities (439)","Euro Thousand",""
"Wages and Salaries - Manual Employees","2019","Construction (41 to 43)","Euro Thousand",""
"Wages and Salaries - Manual Employees","2020","Development of building projects (411)","Euro Thousand",""
"Wages and Salaries - Manual Employees","2020","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Wages and Salaries - Manual Employees","2020","Construction of roads and railways (421)","Euro Thousand",""
"Wages and Salaries - Manual Employees","2020","Construction of utility projects (422)","Euro Thousand",""
"Wages and Salaries - Manual Employees","2020","Construction of other civil engineering projects (429)","Euro Thousand",""
"Wages and Salaries - Manual Employees","2020","Demolition and site preparation (431)","Euro Thousand",""
"Wages and Salaries - Manual Employees","2020","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Wages and Salaries - Manual Employees","2020","Building completion and finishing (433)","Euro Thousand",""
"Wages and Salaries - Manual Employees","2020","Other specialised construction activities (439)","Euro Thousand",""
"Wages and Salaries - Manual Employees","2020","Construction (41 to 43)","Euro Thousand",""
"Wages and Salaries - Other Employees","2019","Development of building projects (411)","Euro Thousand",""
"Wages and Salaries - Other Employees","2019","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Wages and Salaries - Other Employees","2019","Construction of roads and railways (421)","Euro Thousand",""
"Wages and Salaries - Other Employees","2019","Construction of utility projects (422)","Euro Thousand",""
"Wages and Salaries - Other Employees","2019","Construction of other civil engineering projects (429)","Euro Thousand",""
"Wages and Salaries - Other Employees","2019","Demolition and site preparation (431)","Euro Thousand",""
"Wages and Salaries - Other Employees","2019","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Wages and Salaries - Other Employees","2019","Building completion and finishing (433)","Euro Thousand",""
"Wages and Salaries - Other Employees","2019","Other specialised construction activities (439)","Euro Thousand",""
"Wages and Salaries - Other Employees","2019","Construction (41 to 43)","Euro Thousand",""
"Wages and Salaries - Other Employees","2020","Development of building projects (411)","Euro Thousand",""
"Wages and Salaries - Other Employees","2020","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Wages and Salaries - Other Employees","2020","Construction of roads and railways (421)","Euro Thousand",""
"Wages and Salaries - Other Employees","2020","Construction of utility projects (422)","Euro Thousand",""
"Wages and Salaries - Other Employees","2020","Construction of other civil engineering projects (429)","Euro Thousand",""
"Wages and Salaries - Other Employees","2020","Demolition and site preparation (431)","Euro Thousand",""
"Wages and Salaries - Other Employees","2020","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Wages and Salaries - Other Employees","2020","Building completion and finishing (433)","Euro Thousand",""
"Wages and Salaries - Other Employees","2020","Other specialised construction activities (439)","Euro Thousand",""
"Wages and Salaries - Other Employees","2020","Construction (41 to 43)","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2019","Development of building projects (411)","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2019","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2019","Construction of roads and railways (421)","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2019","Construction of utility projects (422)","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2019","Construction of other civil engineering projects (429)","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2019","Demolition and site preparation (431)","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2019","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2019","Building completion and finishing (433)","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2019","Other specialised construction activities (439)","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2019","Construction (41 to 43)","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2020","Development of building projects (411)","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2020","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2020","Construction of roads and railways (421)","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2020","Construction of utility projects (422)","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2020","Construction of other civil engineering projects (429)","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2020","Demolition and site preparation (431)","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2020","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2020","Building completion and finishing (433)","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2020","Other specialised construction activities (439)","Euro Thousand",""
"Wages and Salaries - Manual and Other Employees","2020","Construction (41 to 43)","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2019","Development of building projects (411)","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2019","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2019","Construction of roads and railways (421)","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2019","Construction of utility projects (422)","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2019","Construction of other civil engineering projects (429)","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2019","Demolition and site preparation (431)","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2019","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2019","Building completion and finishing (433)","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2019","Other specialised construction activities (439)","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2019","Construction (41 to 43)","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2020","Development of building projects (411)","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2020","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2020","Construction of roads and railways (421)","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2020","Construction of utility projects (422)","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2020","Construction of other civil engineering projects (429)","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2020","Demolition and site preparation (431)","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2020","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2020","Building completion and finishing (433)","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2020","Other specialised construction activities (439)","Euro Thousand",""
"Wages and Salaries - Labour only subcontractors","2020","Construction (41 to 43)","Euro Thousand",""
"Wages and Salaries - Total","2019","Development of building projects (411)","Euro Thousand","136003"
"Wages and Salaries - Total","2019","Construction of residential and non-residential buildings (412)","Euro Thousand","1223766"
"Wages and Salaries - Total","2019","Construction of roads and railways (421)","Euro Thousand","162711"
"Wages and Salaries - Total","2019","Construction of utility projects (422)","Euro Thousand","112041"
"Wages and Salaries - Total","2019","Construction of other civil engineering projects (429)","Euro Thousand","132659"
"Wages and Salaries - Total","2019","Demolition and site preparation (431)","Euro Thousand","63894"
"Wages and Salaries - Total","2019","Electrical, plumbing and other construction installation activities (432)","Euro Thousand","1374457"
"Wages and Salaries - Total","2019","Building completion and finishing (433)","Euro Thousand","495965"
"Wages and Salaries - Total","2019","Other specialised construction activities (439)","Euro Thousand","547330"
"Wages and Salaries - Total","2019","Construction (41 to 43)","Euro Thousand","4248826"
"Wages and Salaries - Total","2020","Development of building projects (411)","Euro Thousand","128092"
"Wages and Salaries - Total","2020","Construction of residential and non-residential buildings (412)","Euro Thousand","1101356"
"Wages and Salaries - Total","2020","Construction of roads and railways (421)","Euro Thousand","141856"
"Wages and Salaries - Total","2020","Construction of utility projects (422)","Euro Thousand","113455"
"Wages and Salaries - Total","2020","Construction of other civil engineering projects (429)","Euro Thousand","121718"
"Wages and Salaries - Total","2020","Demolition and site preparation (431)","Euro Thousand","66434"
"Wages and Salaries - Total","2020","Electrical, plumbing and other construction installation activities (432)","Euro Thousand","1309945"
"Wages and Salaries - Total","2020","Building completion and finishing (433)","Euro Thousand","424090"
"Wages and Salaries - Total","2020","Other specialised construction activities (439)","Euro Thousand","477619"
"Wages and Salaries - Total","2020","Construction (41 to 43)","Euro Thousand","3884565"
"Labour Costs - Other","2019","Development of building projects (411)","Euro Thousand","12839"
"Labour Costs - Other","2019","Construction of residential and non-residential buildings (412)","Euro Thousand","133596"
"Labour Costs - Other","2019","Construction of roads and railways (421)","Euro Thousand","18091"
"Labour Costs - Other","2019","Construction of utility projects (422)","Euro Thousand","13673"
"Labour Costs - Other","2019","Construction of other civil engineering projects (429)","Euro Thousand","13477"
"Labour Costs - Other","2019","Demolition and site preparation (431)","Euro Thousand","6224"
"Labour Costs - Other","2019","Electrical, plumbing and other construction installation activities (432)","Euro Thousand","141935"
"Labour Costs - Other","2019","Building completion and finishing (433)","Euro Thousand","47975"
"Labour Costs - Other","2019","Other specialised construction activities (439)","Euro Thousand","53384"
"Labour Costs - Other","2019","Construction (41 to 43)","Euro Thousand","441192"
"Labour Costs - Other","2020","Development of building projects (411)","Euro Thousand","11429"
"Labour Costs - Other","2020","Construction of residential and non-residential buildings (412)","Euro Thousand","122731"
"Labour Costs - Other","2020","Construction of roads and railways (421)","Euro Thousand","16432"
"Labour Costs - Other","2020","Construction of utility projects (422)","Euro Thousand","17090"
"Labour Costs - Other","2020","Construction of other civil engineering projects (429)","Euro Thousand","13106"
"Labour Costs - Other","2020","Demolition and site preparation (431)","Euro Thousand","7134"
"Labour Costs - Other","2020","Electrical, plumbing and other construction installation activities (432)","Euro Thousand","137020"
"Labour Costs - Other","2020","Building completion and finishing (433)","Euro Thousand","38042"
"Labour Costs - Other","2020","Other specialised construction activities (439)","Euro Thousand","49457"
"Labour Costs - Other","2020","Construction (41 to 43)","Euro Thousand","412441"
"Labour Costs - Total","2019","Development of building projects (411)","Euro Thousand","148776"
"Labour Costs - Total","2019","Construction of residential and non-residential buildings (412)","Euro Thousand","1357306"
"Labour Costs - Total","2019","Construction of roads and railways (421)","Euro Thousand","180791"
"Labour Costs - Total","2019","Construction of utility projects (422)","Euro Thousand","125714"
"Labour Costs - Total","2019","Construction of other civil engineering projects (429)","Euro Thousand","146115"
"Labour Costs - Total","2019","Demolition and site preparation (431)","Euro Thousand","70118"
