"Statistic Label","Year","Nace Rev 2 Activity","UNIT","VALUE"
"Stock changes - Unsold finished work","2020","Building completion and finishing (433)","Euro Thousand",""
"Stock changes - Unsold finished work","2020","Other specialised construction activities (439)","Euro Thousand",""
"Stock changes - Unsold finished work","2020","Construction (41 to 43)","Euro Thousand",""
"Stock changes - Materials and energy","2019","Development of building projects (411)","Euro Thousand",""
"Stock changes - Materials and energy","2019","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Stock changes - Materials and energy","2019","Construction of roads and railways (421)","Euro Thousand",""
"Stock changes - Materials and energy","2019","Construction of utility projects (422)","Euro Thousand",""
"Stock changes - Materials and energy","2019","Construction of other civil engineering projects (429)","Euro Thousand",""
"Stock changes - Materials and energy","2019","Demolition and site preparation (431)","Euro Thousand",""
"Stock changes - Materials and energy","2019","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Stock changes - Materials and energy","2019","Building completion and finishing (433)","Euro Thousand",""
"Stock changes - Materials and energy","2019","Other specialised construction activities (439)","Euro Thousand",""
"Stock changes - Materials and energy","2019","Construction (41 to 43)","Euro Thousand",""
"Stock changes - Materials and energy","2020","Development of building projects (411)","Euro Thousand",""
"Stock changes - Materials and energy","2020","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Stock changes - Materials and energy","2020","Construction of roads and railways (421)","Euro Thousand",""
"Stock changes - Materials and energy","2020","Construction of utility projects (422)","Euro Thousand",""
"Stock changes - Materials and energy","2020","Construction of other civil engineering projects (429)","Euro Thousand",""
"Stock changes - Materials and energy","2020","Demolition and site preparation (431)","Euro Thousand",""
"Stock changes - Materials and energy","2020","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Stock changes - Materials and energy","2020","Building completion and finishing (433)","Euro Thousand",""
"Stock changes - Materials and energy","2020","Other specialised construction activities (439)","Euro Thousand",""
"Stock changes - Materials and energy","2020","Construction (41 to 43)","Euro Thousand",""
"Stock changes - Factored goods","2019","Development of building projects (411)","Euro Thousand",""
"Stock changes - Factored goods","2019","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Stock changes - Factored goods","2019","Construction of roads and railways (421)","Euro Thousand",""
"Stock changes - Factored goods","2019","Construction of utility projects (422)","Euro Thousand",""
"Stock changes - Factored goods","2019","Construction of other civil engineering projects (429)","Euro Thousand",""
"Stock changes - Factored goods","2019","Demolition and site preparation (431)","Euro Thousand",""
"Stock changes - Factored goods","2019","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Stock changes - Factored goods","2019","Building completion and finishing (433)","Euro Thousand",""
"Stock changes - Factored goods","2019","Other specialised construction activities (439)","Euro Thousand",""
"Stock changes - Factored goods","2019","Construction (41 to 43)","Euro Thousand",""
"Stock changes - Factored goods","2020","Development of building projects (411)","Euro Thousand",""
"Stock changes - Factored goods","2020","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Stock changes - Factored goods","2020","Construction of roads and railways (421)","Euro Thousand",""
"Stock changes - Factored goods","2020","Construction of utility projects (422)","Euro Thousand",""
"Stock changes - Factored goods","2020","Construction of other civil engineering projects (429)","Euro Thousand",""
"Stock changes - Factored goods","2020","Demolition and site preparation (431)","Euro Thousand",""
"Stock changes - Factored goods","2020","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Stock changes - Factored goods","2020","Building completion and finishing (433)","Euro Thousand",""
"Stock changes - Factored goods","2020","Other specialised construction activities (439)","Euro Thousand",""
"Stock changes - Factored goods","2020","Construction (41 to 43)","Euro Thousand",""
"Stock changes - Total","2019","Development of building projects (411)","Euro Thousand",""
"Stock changes - Total","2019","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Stock changes - Total","2019","Construction of roads and railways (421)","Euro Thousand",""
"Stock changes - Total","2019","Construction of utility projects (422)","Euro Thousand",""
"Stock changes - Total","2019","Construction of other civil engineering projects (429)","Euro Thousand",""
"Stock changes - Total","2019","Demolition and site preparation (431)","Euro Thousand",""
"Stock changes - Total","2019","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Stock changes - Total","2019","Building completion and finishing (433)","Euro Thousand",""
"Stock changes - Total","2019","Other specialised construction activities (439)","Euro Thousand",""
"Stock changes - Total","2019","Construction (41 to 43)","Euro Thousand",""
"Stock changes - Total","2020","Development of building projects (411)","Euro Thousand",""
"Stock changes - Total","2020","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Stock changes - Total","2020","Construction of roads and railways (421)","Euro Thousand",""
"Stock changes - Total","2020","Construction of utility projects (422)","Euro Thousand",""
"Stock changes - Total","2020","Construction of other civil engineering projects (429)","Euro Thousand",""
"Stock changes - Total","2020","Demolition and site preparation (431)","Euro Thousand",""
"Stock changes - Total","2020","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Stock changes - Total","2020","Building completion and finishing (433)","Euro Thousand",""
"Stock changes - Total","2020","Other specialised construction activities (439)","Euro Thousand",""
"Stock changes - Total","2020","Construction (41 to 43)","Euro Thousand",""
"Capital assets - Acquisitions","2019","Development of building projects (411)","Euro Thousand",""
"Capital assets - Acquisitions","2019","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Capital assets - Acquisitions","2019","Construction of roads and railways (421)","Euro Thousand",""
"Capital assets - Acquisitions","2019","Construction of utility projects (422)","Euro Thousand",""
"Capital assets - Acquisitions","2019","Construction of other civil engineering projects (429)","Euro Thousand",""
"Capital assets - Acquisitions","2019","Demolition and site preparation (431)","Euro Thousand",""
"Capital assets - Acquisitions","2019","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Capital assets - Acquisitions","2019","Building completion and finishing (433)","Euro Thousand",""
"Capital assets - Acquisitions","2019","Other specialised construction activities (439)","Euro Thousand",""
"Capital assets - Acquisitions","2019","Construction (41 to 43)","Euro Thousand",""
"Capital assets - Acquisitions","2020","Development of building projects (411)","Euro Thousand",""
"Capital assets - Acquisitions","2020","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Capital assets - Acquisitions","2020","Construction of roads and railways (421)","Euro Thousand",""
"Capital assets - Acquisitions","2020","Construction of utility projects (422)","Euro Thousand",""
"Capital assets - Acquisitions","2020","Construction of other civil engineering projects (429)","Euro Thousand",""
"Capital assets - Acquisitions","2020","Demolition and site preparation (431)","Euro Thousand",""
"Capital assets - Acquisitions","2020","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Capital assets - Acquisitions","2020","Building completion and finishing (433)","Euro Thousand",""
"Capital assets - Acquisitions","2020","Other specialised construction activities (439)","Euro Thousand",""
"Capital assets - Acquisitions","2020","Construction (41 to 43)","Euro Thousand",""
"Capital assets - Sales","2019","Development of building projects (411)","Euro Thousand",""
"Capital assets - Sales","2019","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Capital assets - Sales","2019","Construction of roads and railways (421)","Euro Thousand",""
"Capital assets - Sales","2019","Construction of utility projects (422)","Euro Thousand",""
"Capital assets - Sales","2019","Construction of other civil engineering projects (429)","Euro Thousand",""
"Capital assets - Sales","2019","Demolition and site preparation (431)","Euro Thousand",""
"Capital assets - Sales","2019","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Capital assets - Sales","2019","Building completion and finishing (433)","Euro Thousand",""
"Capital assets - Sales","2019","Other specialised construction activities (439)","Euro Thousand",""
"Capital assets - Sales","2019","Construction (41 to 43)","Euro Thousand",""
"Capital assets - Sales","2020","Development of building projects (411)","Euro Thousand",""
"Capital assets - Sales","2020","Construction of residential and non-residential buildings (412)","Euro Thousand",""
"Capital assets - Sales","2020","Construction of roads and railways (421)","Euro Thousand",""
"Capital assets - Sales","2020","Construction of utility projects (422)","Euro Thousand",""
"Capital assets - Sales","2020","Construction of other civil engineering projects (429)","Euro Thousand",""
"Capital assets - Sales","2020","Demolition and site preparation (431)","Euro Thousand",""
"Capital assets - Sales","2020","Electrical, plumbing and other construction installation activities (432)","Euro Thousand",""
"Capital assets - Sales","2020","Building completion and finishing (433)","Euro Thousand",""
"Capital assets - Sales","2020","Other specialised construction activities (439)","Euro Thousand",""
"Capital assets - Sales","2020","Construction (41 to 43)","Euro Thousand",""
"Production value","2019","Development of building projects (411)","Euro Thousand","3095012"
"Production value","2019","Construction of residential and non-residential buildings (412)","Euro Thousand","9287906"
"Production value","2019","Construction of roads and railways (421)","Euro Thousand","925339"
"Production value","2019","Construction of utility projects (422)","Euro Thousand","659972"
"Production value","2019","Construction of other civil engineering projects (429)","Euro Thousand","546034"
"Production value","2019","Demolition and site preparation (431)","Euro Thousand","356685"
"Production value","2019","Electrical, plumbing and other construction installation activities (432)","Euro Thousand","5995490"
"Production value","2019","Building completion and finishing (433)","Euro Thousand","3039214"
"Production value","2019","Other specialised construction activities (439)","Euro Thousand","2755375"
"Production value","2019","Construction (41 to 43)","Euro Thousand","26661027"
"Production value","2020","Development of building projects (411)","Euro Thousand","4041682"
"Production value","2020","Construction of residential and non-residential buildings (412)","Euro Thousand","9254969"
"Production value","2020","Construction of roads and railways (421)","Euro Thousand","901444"
"Production value","2020","Construction of utility projects (422)","Euro Thousand","678038"
"Production value","2020","Construction of other civil engineering projects (429)","Euro Thousand","610830"
"Production value","2020","Demolition and site preparation (431)","Euro Thousand","648887"
"Production value","2020","Electrical, plumbing and other construction installation activities (432)","Euro Thousand","5928878"
"Production value","2020","Building completion and finishing (433)","Euro Thousand","2696729"
"Production value","2020","Other specialised construction activities (439)","Euro Thousand","2599167"
"Production value","2020","Construction (41 to 43)","Euro Thousand","27360625"
"Intermediate consumption","2019","Development of building projects (411)","Euro Thousand","2361404"
"Intermediate consumption","2019","Construction of residential and non-residential buildings (412)","Euro Thousand","6517885"
"Intermediate consumption","2019","Construction of roads and railways (421)","Euro Thousand","661287"
"Intermediate consumption","2019","Construction of utility projects (422)","Euro Thousand","339783"
"Intermediate consumption","2019","Construction of other civil engineering projects (429)","Euro Thousand","346418"
"Intermediate consumption","2019","Demolition and site preparation (431)","Euro Thousand","219700"
"Intermediate consumption","2019","Electrical, plumbing and other construction installation activities (432)","Euro Thousand","3875625"
"Intermediate consumption","2019","Building completion and finishing (433)","Euro Thousand","1926951"
"Intermediate consumption","2019","Other specialised construction activities (439)","Euro Thousand","1732503"
"Intermediate consumption","2019","Construction (41 to 43)","Euro Thousand","17981555"
"Intermediate consumption","2020","Development of building projects (411)","Euro Thousand","3136974"
"Intermediate consumption","2020","Construction of residential and non-residential buildings (412)","Euro Thousand","6979979"
"Intermediate consumption","2020","Construction of roads and railways (421)","Euro Thousand","653363"
"Intermediate consumption","2020","Construction of utility projects (422)","Euro Thousand","440343"
"Intermediate consumption","2020","Construction of other civil engineering projects (429)","Euro Thousand","430296"
"Intermediate consumption","2020","Demolition and site preparation (431)","Euro Thousand","389647"
"Intermediate consumption","2020","Electrical, plumbing and other construction installation activities (432)","Euro Thousand","3872254"
"Intermediate consumption","2020","Building completion and finishing (433)","Euro Thousand","1739204"
"Intermediate consumption","2020","Other specialised construction activities (439)","Euro Thousand","1639487"
"Intermediate consumption","2020","Construction (41 to 43)","Euro Thousand","19281548"
"Gross value added at basic prices","2019","Development of building projects (411)","Euro Thousand","733608"
"Gross value added at basic prices","2019","Construction of residential and non-residential buildings (412)","Euro Thousand","2770021"
"Gross value added at basic prices","2019","Construction of roads and railways (421)","Euro Thousand","264052"
"Gross value added at basic prices","2019","Construction of utility projects (422)","Euro Thousand","320189"
"Gross value added at basic prices","2019","Construction of other civil engineering projects (429)","Euro Thousand","199617"
"Gross value added at basic prices","2019","Demolition and site preparation (431)","Euro Thousand","136985"
"Gross value added at basic prices","2019","Electrical, plumbing and other construction installation activities (432)","Euro Thousand","2119865"
"Gross value added at basic prices","2019","Building completion and finishing (433)","Euro Thousand","1112264"
"Gross value added at basic prices","2019","Other specialised construction activities (439)","Euro Thousand","1022872"
"Gross value added at basic prices","2019","Construction (41 to 43)","Euro Thousand","8679472"
"Gross value added at basic prices","2020","Development of building projects (411)","Euro Thousand","904707"
"Gross value added at basic prices","2020","Construction of residential and non-residential buildings (412)","Euro Thousand","2274990"
"Gross value added at basic prices","2020","Construction of roads and railways (421)","Euro Thousand","248080"
"Gross value added at basic prices","2020","Construction of utility projects (422)","Euro Thousand","237695"
"Gross value added at basic prices","2020","Construction of other civil engineering projects (429)","Euro Thousand","180534"
"Gross value added at basic prices","2020","Demolition and site preparation (431)","Euro Thousand","259241"
"Gross value added at basic prices","2020","Electrical, plumbing and other construction installation activities (432)","Euro Thousand","2056625"
"Gross value added at basic prices","2020","Building completion and finishing (433)","Euro Thousand","957525"
"Gross value added at basic prices","2020","Other specialised construction activities (439)","Euro Thousand","959680"
"Gross value added at basic prices","2020","Construction (41 to 43)","Euro Thousand","8079077"
"Gross value added at factor cost","2019","Development of building projects (411)","Euro Thousand","731213"
"Gross value added at factor cost","2019","Construction of residential and non-residential buildings (412)","Euro Thousand","2763657"
"Gross value added at factor cost","2019","Construction of roads and railways (421)","Euro Thousand","263126"
"Gross value added at factor cost","2019","Construction of utility projects (422)","Euro Thousand","318400"
"Gross value added at factor cost","2019","Construction of other civil engineering projects (429)","Euro Thousand","198699"
"Gross value added at factor cost","2019","Demolition and site preparation (431)","Euro Thousand","136538"
"Gross value added at factor cost","2019","Electrical, plumbing and other construction installation activities (432)","Euro Thousand","2112224"
"Gross value added at factor cost","2019","Building completion and finishing (433)","Euro Thousand","1107713"
"Gross value added at factor cost","2019","Other specialised construction activities (439)","Euro Thousand","1018749"
"Gross value added at factor cost","2019","Construction (41 to 43)","Euro Thousand","8650319"
"Gross value added at factor cost","2020","Development of building projects (411)","Euro Thousand","900554"
"Gross value added at factor cost","2020","Construction of residential and non-residential buildings (412)","Euro Thousand","2267974"
"Gross value added at factor cost","2020","Construction of roads and railways (421)","Euro Thousand","246423"
"Gross value added at factor cost","2020","Construction of utility projects (422)","Euro Thousand","234872"
"Gross value added at factor cost","2020","Construction of other civil engineering projects (429)","Euro Thousand","177838"
"Gross value added at factor cost","2020","Demolition and site preparation (431)","Euro Thousand","257722"
"Gross value added at factor cost","2020","Electrical, plumbing and other construction installation activities (432)","Euro Thousand","2045708"
"Gross value added at factor cost","2020","Building completion and finishing (433)","Euro Thousand","945228"
"Gross value added at factor cost","2020","Other specialised construction activities (439)","Euro Thousand","953986"
"Gross value added at factor cost","2020","Construction (41 to 43)","Euro Thousand","8030305"
