"Statistic Label","Year","Persons Engaged","UNIT","VALUE"
"Turnover - Factored goods","2019","50 - 249","Euro Thousand",""
"Turnover - Factored goods","2019","250 and over","Euro Thousand",""
"Turnover - Factored goods","2020","0 - 9","Euro Thousand",""
"Turnover - Factored goods","2020","10 - 49","Euro Thousand",""
"Turnover - Factored goods","2020","50 - 249","Euro Thousand",""
"Turnover - Factored goods","2020","250 and over","Euro Thousand",""
"Turnover - Other","2019","0 - 9","Euro Thousand",""
"Turnover - Other","2019","10 - 49","Euro Thousand",""
"Turnover - Other","2019","50 - 249","Euro Thousand",""
"Turnover - Other","2019","250 and over","Euro Thousand",""
"Turnover - Other","2020","0 - 9","Euro Thousand",""
"Turnover - Other","2020","10 - 49","Euro Thousand",""
"Turnover - Other","2020","50 - 249","Euro Thousand",""
"Turnover - Other","2020","250 and over","Euro Thousand",""
"Turnover - Total","2019","0 - 9","Euro Thousand","12716722"
"Turnover - Total","2019","10 - 49","Euro Thousand","6431429"
"Turnover - Total","2019","50 - 249","Euro Thousand","4026089"
"Turnover - Total","2019","250 and over","Euro Thousand","4885019"
"Turnover - Total","2020","0 - 9","Euro Thousand","14272070"
"Turnover - Total","2020","10 - 49","Euro Thousand","6237646"
"Turnover - Total","2020","50 - 249","Euro Thousand","3832243"
"Turnover - Total","2020","250 and over","Euro Thousand","4854171"
"Payments to other subcontractors","2019","0 - 9","Euro Thousand",""
"Payments to other subcontractors","2019","10 - 49","Euro Thousand",""
"Payments to other subcontractors","2019","50 - 249","Euro Thousand",""
"Payments to other subcontractors","2019","250 and over","Euro Thousand",""
"Payments to other subcontractors","2020","0 - 9","Euro Thousand",""
"Payments to other subcontractors","2020","10 - 49","Euro Thousand",""
"Payments to other subcontractors","2020","50 - 249","Euro Thousand",""
"Payments to other subcontractors","2020","250 and over","Euro Thousand",""
"Turnover less payments to subcontractors","2019","0 - 9","Euro Thousand",""
"Turnover less payments to subcontractors","2019","10 - 49","Euro Thousand",""
"Turnover less payments to subcontractors","2019","50 - 249","Euro Thousand",""
"Turnover less payments to subcontractors","2019","250 and over","Euro Thousand",""
"Turnover less payments to subcontractors","2020","0 - 9","Euro Thousand",""
"Turnover less payments to subcontractors","2020","10 - 49","Euro Thousand",""
"Turnover less payments to subcontractors","2020","50 - 249","Euro Thousand",""
"Turnover less payments to subcontractors","2020","250 and over","Euro Thousand",""
"Assets made for own use","2019","0 - 9","Euro Thousand",""
"Assets made for own use","2019","10 - 49","Euro Thousand",""
"Assets made for own use","2019","50 - 249","Euro Thousand",""
"Assets made for own use","2019","250 and over","Euro Thousand",""
"Assets made for own use","2020","0 - 9","Euro Thousand",""
"Assets made for own use","2020","10 - 49","Euro Thousand",""
"Assets made for own use","2020","50 - 249","Euro Thousand",""
"Assets made for own use","2020","250 and over","Euro Thousand",""
"Purchases - Materials and energy","2019","0 - 9","Euro Thousand",""
"Purchases - Materials and energy","2019","10 - 49","Euro Thousand",""
"Purchases - Materials and energy","2019","50 - 249","Euro Thousand",""
"Purchases - Materials and energy","2019","250 and over","Euro Thousand",""
"Purchases - Materials and energy","2020","0 - 9","Euro Thousand",""
"Purchases - Materials and energy","2020","10 - 49","Euro Thousand",""
"Purchases - Materials and energy","2020","50 - 249","Euro Thousand",""
"Purchases - Materials and energy","2020","250 and over","Euro Thousand",""
"Purchases - Industrial services","2019","0 - 9","Euro Thousand",""
"Purchases - Industrial services","2019","10 - 49","Euro Thousand",""
"Purchases - Industrial services","2019","50 - 249","Euro Thousand",""
"Purchases - Industrial services","2019","250 and over","Euro Thousand",""
"Purchases - Industrial services","2020","0 - 9","Euro Thousand",""
"Purchases - Industrial services","2020","10 - 49","Euro Thousand",""
"Purchases - Industrial services","2020","50 - 249","Euro Thousand",""
"Purchases - Industrial services","2020","250 and over","Euro Thousand",""
"Purchases - Factored goods","2019","0 - 9","Euro Thousand","21557"
"Purchases - Factored goods","2019","10 - 49","Euro Thousand","16861"
"Purchases - Factored goods","2019","50 - 249","Euro Thousand","6264"
"Purchases - Factored goods","2019","250 and over","Euro Thousand","3155"
"Purchases - Factored goods","2020","0 - 9","Euro Thousand","16126"
"Purchases - Factored goods","2020","10 - 49","Euro Thousand","14846"
"Purchases - Factored goods","2020","50 - 249","Euro Thousand","2893"
"Purchases - Factored goods","2020","250 and over","Euro Thousand","2155"
"Purchases - Other goods/services","2019","0 - 9","Euro Thousand",""
"Purchases - Other goods/services","2019","10 - 49","Euro Thousand",""
"Purchases - Other goods/services","2019","50 - 249","Euro Thousand",""
"Purchases - Other goods/services","2019","250 and over","Euro Thousand",""
"Purchases - Other goods/services","2020","0 - 9","Euro Thousand",""
"Purchases - Other goods/services","2020","10 - 49","Euro Thousand",""
"Purchases - Other goods/services","2020","50 - 249","Euro Thousand",""
"Purchases - Other goods/services","2020","250 and over","Euro Thousand",""
"Purchases - Total","2019","0 - 9","Euro Thousand","13458214"
"Purchases - Total","2019","10 - 49","Euro Thousand","6292693"
"Purchases - Total","2019","50 - 249","Euro Thousand","3520246"
"Purchases - Total","2019","250 and over","Euro Thousand","4652720"
"Purchases - Total","2020","0 - 9","Euro Thousand","14692285"
"Purchases - Total","2020","10 - 49","Euro Thousand","6032729"
"Purchases - Total","2020","50 - 249","Euro Thousand","3710333"
"Purchases - Total","2020","250 and over","Euro Thousand","4866752"
"Stocks at end of year - Work in progress","2019","0 - 9","Euro Thousand",""
"Stocks at end of year - Work in progress","2019","10 - 49","Euro Thousand",""
"Stocks at end of year - Work in progress","2019","50 - 249","Euro Thousand",""
"Stocks at end of year - Work in progress","2019","250 and over","Euro Thousand",""
"Stocks at end of year - Work in progress","2020","0 - 9","Euro Thousand",""
"Stocks at end of year - Work in progress","2020","10 - 49","Euro Thousand",""
"Stocks at end of year - Work in progress","2020","50 - 249","Euro Thousand",""
"Stocks at end of year - Work in progress","2020","250 and over","Euro Thousand",""
"Stocks at end of year - Unsold finished work","2019","0 - 9","Euro Thousand",""
"Stocks at end of year - Unsold finished work","2019","10 - 49","Euro Thousand",""
"Stocks at end of year - Unsold finished work","2019","50 - 249","Euro Thousand",""
"Stocks at end of year - Unsold finished work","2019","250 and over","Euro Thousand",""
"Stocks at end of year - Unsold finished work","2020","0 - 9","Euro Thousand",""
"Stocks at end of year - Unsold finished work","2020","10 - 49","Euro Thousand",""
"Stocks at end of year - Unsold finished work","2020","50 - 249","Euro Thousand",""
"Stocks at end of year - Unsold finished work","2020","250 and over","Euro Thousand",""
"Stocks at end of year - Materials and energy","2019","0 - 9","Euro Thousand",""
"Stocks at end of year - Materials and energy","2019","10 - 49","Euro Thousand",""
"Stocks at end of year - Materials and energy","2019","50 - 249","Euro Thousand",""
"Stocks at end of year - Materials and energy","2019","250 and over","Euro Thousand",""
"Stocks at end of year - Materials and energy","2020","0 - 9","Euro Thousand",""
"Stocks at end of year - Materials and energy","2020","10 - 49","Euro Thousand",""
"Stocks at end of year - Materials and energy","2020","50 - 249","Euro Thousand",""
"Stocks at end of year - Materials and energy","2020","250 and over","Euro Thousand",""
"Stocks at end of year - Factored goods","2019","0 - 9","Euro Thousand",""
"Stocks at end of year - Factored goods","2019","10 - 49","Euro Thousand",""
"Stocks at end of year - Factored goods","2019","50 - 249","Euro Thousand",""
"Stocks at end of year - Factored goods","2019","250 and over","Euro Thousand",""
"Stocks at end of year - Factored goods","2020","0 - 9","Euro Thousand",""
"Stocks at end of year - Factored goods","2020","10 - 49","Euro Thousand",""
"Stocks at end of year - Factored goods","2020","50 - 249","Euro Thousand",""
"Stocks at end of year - Factored goods","2020","250 and over","Euro Thousand",""
"Stocks at end of year - Total","2019","0 - 9","Euro Thousand",""
"Stocks at end of year - Total","2019","10 - 49","Euro Thousand",""
"Stocks at end of year - Total","2019","50 - 249","Euro Thousand",""
"Stocks at end of year - Total","2019","250 and over","Euro Thousand",""
"Stocks at end of year - Total","2020","0 - 9","Euro Thousand",""
"Stocks at end of year - Total","2020","10 - 49","Euro Thousand",""
"Stocks at end of year - Total","2020","50 - 249","Euro Thousand",""
"Stocks at end of year - Total","2020","250 and over","Euro Thousand",""
"Stock changes - Work in progress","2019","0 - 9","Euro Thousand",""
"Stock changes - Work in progress","2019","10 - 49","Euro Thousand",""
"Stock changes - Work in progress","2019","50 - 249","Euro Thousand",""
"Stock changes - Work in progress","2019","250 and over","Euro Thousand",""
"Stock changes - Work in progress","2020","0 - 9","Euro Thousand",""
"Stock changes - Work in progress","2020","10 - 49","Euro Thousand",""
"Stock changes - Work in progress","2020","50 - 249","Euro Thousand",""
"Stock changes - Work in progress","2020","250 and over","Euro Thousand",""
"Stock changes - Unsold finished work","2019","0 - 9","Euro Thousand",""
"Stock changes - Unsold finished work","2019","10 - 49","Euro Thousand",""
"Stock changes - Unsold finished work","2019","50 - 249","Euro Thousand",""
"Stock changes - Unsold finished work","2019","250 and over","Euro Thousand",""
"Stock changes - Unsold finished work","2020","0 - 9","Euro Thousand",""
"Stock changes - Unsold finished work","2020","10 - 49","Euro Thousand",""
"Stock changes - Unsold finished work","2020","50 - 249","Euro Thousand",""
"Stock changes - Unsold finished work","2020","250 and over","Euro Thousand",""
"Stock changes - Materials and energy","2019","0 - 9","Euro Thousand",""
"Stock changes - Materials and energy","2019","10 - 49","Euro Thousand",""
"Stock changes - Materials and energy","2019","50 - 249","Euro Thousand",""
"Stock changes - Materials and energy","2019","250 and over","Euro Thousand",""
"Stock changes - Materials and energy","2020","0 - 9","Euro Thousand",""
"Stock changes - Materials and energy","2020","10 - 49","Euro Thousand",""
"Stock changes - Materials and energy","2020","50 - 249","Euro Thousand",""
"Stock changes - Materials and energy","2020","250 and over","Euro Thousand",""
"Stock changes - Factored goods","2019","0 - 9","Euro Thousand",""
"Stock changes - Factored goods","2019","10 - 49","Euro Thousand",""
"Stock changes - Factored goods","2019","50 - 249","Euro Thousand",""
"Stock changes - Factored goods","2019","250 and over","Euro Thousand",""
"Stock changes - Factored goods","2020","0 - 9","Euro Thousand",""
"Stock changes - Factored goods","2020","10 - 49","Euro Thousand",""
"Stock changes - Factored goods","2020","50 - 249","Euro Thousand",""
"Stock changes - Factored goods","2020","250 and over","Euro Thousand",""
"Stock changes - Total","2019","0 - 9","Euro Thousand",""
"Stock changes - Total","2019","10 - 49","Euro Thousand",""
"Stock changes - Total","2019","50 - 249","Euro Thousand",""
"Stock changes - Total","2019","250 and over","Euro Thousand",""
"Stock changes - Total","2020","0 - 9","Euro Thousand",""
"Stock changes - Total","2020","10 - 49","Euro Thousand",""
"Stock changes - Total","2020","50 - 249","Euro Thousand",""
"Stock changes - Total","2020","250 and over","Euro Thousand",""
"Capital assets - Acquisitions","2019","0 - 9","Euro Thousand",""
"Capital assets - Acquisitions","2019","10 - 49","Euro Thousand",""
"Capital assets - Acquisitions","2019","50 - 249","Euro Thousand",""
"Capital assets - Acquisitions","2019","250 and over","Euro Thousand",""
"Capital assets - Acquisitions","2020","0 - 9","Euro Thousand",""
"Capital assets - Acquisitions","2020","10 - 49","Euro Thousand",""
"Capital assets - Acquisitions","2020","50 - 249","Euro Thousand",""
"Capital assets - Acquisitions","2020","250 and over","Euro Thousand",""
"Capital assets - Sales","2019","0 - 9","Euro Thousand",""
"Capital assets - Sales","2019","10 - 49","Euro Thousand",""
"Capital assets - Sales","2019","50 - 249","Euro Thousand",""
"Capital assets - Sales","2019","250 and over","Euro Thousand",""
"Capital assets - Sales","2020","0 - 9","Euro Thousand",""
"Capital assets - Sales","2020","10 - 49","Euro Thousand",""
"Capital assets - Sales","2020","50 - 249","Euro Thousand",""
"Capital assets - Sales","2020","250 and over","Euro Thousand",""
"Production value","2019","0 - 9","Euro Thousand","12630234"
"Production value","2019","10 - 49","Euro Thousand","6133077"
"Production value","2019","50 - 249","Euro Thousand","3512022"
"Production value","2019","250 and over","Euro Thousand","4385695"
"Production value","2020","0 - 9","Euro Thousand","13494149"
"Production value","2020","10 - 49","Euro Thousand","5958746"
"Production value","2020","50 - 249","Euro Thousand","3439299"
"Production value","2020","250 and over","Euro Thousand","4468430"
"Intermediate consumption","2019","0 - 9","Euro Thousand","8657174"
"Intermediate consumption","2019","10 - 49","Euro Thousand","4128291"
"Intermediate consumption","2019","50 - 249","Euro Thousand","2272368"
"Intermediate consumption","2019","250 and over","Euro Thousand","2923723"
"Intermediate consumption","2020","0 - 9","Euro Thousand","9629346"
"Intermediate consumption","2020","10 - 49","Euro Thousand","4041626"
"Intermediate consumption","2020","50 - 249","Euro Thousand","2431530"
"Intermediate consumption","2020","250 and over","Euro Thousand","3179046"
